order_id,quantity,order_date,customer_name,customer_contact,customer_address,customer_city,customer_postal_code,customer_country,product_name,category_name,category_description,employee_first_name,employee_last_name,employee_birthdate,employee_photo,employees_notes,shipper_name,shipper_phone,supplier_name,supplier_phone,supplier_contact,supplier_address,supplier_zip_code,supplier_country
10308,1,1996-09-18,Ana Trujillo Emparedados y helados,Ana Trujillo,Avda. de la Constitucion 2222,Mexico D.F.,05021,Mexico,Gudbrandsdalsost,Dairy Products,Cheeses,Robert,King,1960-05-29,EmpID7.pic,"Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan and then joining the company. After completing a course entitled 'Selling in Europe', he was transferred to the London office.",Federal Shipping,(503) 555-9931,Norske Meierier,(0)2-953010,Beate Vileid,Hatlevegen 5,1320,Norway
10308,5,1996-09-18,Ana Trujillo Emparedados y helados,Ana Trujillo,Avda. de la Constitucion 2222,Mexico D.F.,05021,Mexico,Outback Lager,Beverages,"Soft drinks, coffees, teas, beers, and ales",Robert,King,1960-05-29,EmpID7.pic,"Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan and then joining the company. After completing a course entitled 'Selling in Europe', he was transferred to the London office.",Federal Shipping,(503) 555-9931,"Pavlova, Ltd.",(03) 444-2343,Ian Devling,74 Rose St. Moonie Ponds,3058,Australia
10365,24,1996-11-27,Antonio Moreno Taqueria,Antonio Moreno,Mataderos 2312,Mexico D.F.,05023,Mexico,Queso Cabrales,Dairy Products,Cheeses,Janet,Leverling,1963-08-30,EmpID3.pic,Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.,United Package,(503) 555-3199,Cooperativa de Quesos Las Cabras,(98) 598 76 54,Antonio del Valle Saavedra,Calle del Rosal 4,33007,Spain
10383,20,1996-12-16,Around the Horn,Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,Gnocchi di nonna Alice,Grains/Cereals,"Breads, crackers, pasta, and cereal",Laura,Callahan,1958-01-09,EmpID8.pic,Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.,Federal Shipping,(503) 555-9931,Pasta Buttini s.r.l.,(089) 6547665,Giovanni Giudici,"Via dei Gelsomini, 153",84100,Italy
10355,25,1996-11-15,Around the Horn,Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,Ravioli Angelo,Grains/Cereals,"Breads, crackers, pasta, and cereal",Michael,Suyama,1963-07-02,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",Speedy Express,(503) 555-9831,Pasta Buttini s.r.l.,(089) 6547665,Giovanni Giudici,"Via dei Gelsomini, 153",84100,Italy
10383,15,1996-12-16,Around the Horn,Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,Valkoinen suklaa,Confections,"Desserts, candies, and sweet breads",Laura,Callahan,1958-01-09,EmpID8.pic,Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.,Federal Shipping,(503) 555-9931,Karkki Oy,(953) 10956,Anne Heikkonen,Valtakatu 12,53120,Finland
10355,25,1996-11-15,Around the Horn,Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,Guarana Fantastica,Beverages,"Soft drinks, coffees, teas, beers, and ales",Michael,Suyama,1963-07-02,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",Speedy Express,(503) 555-9831,Refrescos Americanas LTDA,(11) 555 4640,Carlos Diaz,Av. das Americanas 12.890,5442,Brazil
10383,20,1996-12-16,Around the Horn,Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,Konbu,Seafood,Seaweed and fish,Laura,Callahan,1958-01-09,EmpID8.pic,Laura received a BA in psychology from the University of Washington. She has also completed a course in business French. She reads and writes French.,Federal Shipping,(503) 555-9931,Mayumis,(06) 431-7877,Mayumi Ohno,92 Setsuko Chuo-ku,545,Japan
10384,15,1996-12-16,Berglunds snabbkop,Christina Berglund,Berguvsvagen 8,Lulea,S-958 22,Sweden,Camembert Pierrot,Dairy Products,Cheeses,Janet,Leverling,1963-08-30,EmpID3.pic,Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.,Federal Shipping,(503) 555-9931,Gai paturage,38.76.98.06,Eliane Noz,"Bat. B 3, rue des Alpes",74000,France
10384,28,1996-12-16,Berglunds snabbkop,Christina Berglund,Berguvsvagen 8,Lulea,S-958 22,Sweden,Sir Rodneys Marmalade,Confections,"Desserts, candies, and sweet breads",Janet,Leverling,1963-08-30,EmpID3.pic,Janet has a BS degree in chemistry from Boston College). She has also completed a certificate program in food retailing management. Janet was hired as a sales associate and was promoted to sales representative.,Federal Shipping,(503) 555-9931,"Specialty Biscuits, Ltd.",(161) 555-4448,Peter Wilson,29 Kings Way,M14 GSD,UK
